PONTO,X (m),Y (m),Elevation (m),Slope (%),Mill,Season,Clay,Sand,Silt,OM,pH,P,K,Ca,Mg,H+Al,SEB,CEC,BS,S,B,Cu,Fe,Mn,Yield
C14,236577.416,7645282.633,568.364,13.202,PeM,Plant,401.000,514.000,85.000,27.000,4.700,4.000,4.100,39.000,7.000,34.000,49.900,84.200,59.000,4.000,0.130,3.200,18.000,15.100,110.553
C15,236585.353,7645331.999,569.248,41.792,PeM,Plant,424.000,480.000,96.000,19.000,5.100,4.000,4.300,29.000,5.000,25.000,37.900,62.900,60.000,1.000,0.140,3.300,15.000,16.300,118.320
C16,236593.290,7645381.365,570.391,11.223,PeM,Plant,436.500,462.000,101.500,24.000,4.800,4.000,2.300,20.000,4.000,34.000,26.400,60.600,43.000,11.000,0.110,3.800,19.000,13.200,120.004
C17,236601.227,7645430.731,569.427,2.189,PeM,Plant,471.500,415.000,113.500,27.000,4.400,6.000,2.500,19.000,3.000,42.000,24.500,66.800,37.000,24.000,0.150,4.200,24.000,10.800,113.114
C18,236609.164,7645480.097,570.934,46.750,PeM,Plant,456.000,419.000,125.000,27.000,4.500,5.000,4.100,22.000,4.000,42.000,30.000,72.300,41.000,57.000,0.160,3.600,20.000,9.200,117.427
C19,236617.101,7645529.463,570.126,12.133,PeM,Plant,427.000,452.000,121.000,27.000,4.600,11.000,2.900,21.000,4.000,38.000,28.100,66.200,42.000,25.000,0.130,3.600,34.000,15.900,118.583
D02,236531.537,7644682.305,568.397,19.154,PeM,Plant,347.000,577.000,76.000,39.000,4.800,15.000,2.600,42.000,10.000,42.000,54.200,96.500,56.000,6.000,0.230,3.200,63.000,14.900,133.116
D03,236539.474,7644731.671,570.782,48.240,PeM,Plant,406.400,511.600,82.000,35.000,4.900,9.000,2.700,34.000,10.000,34.000,46.500,80.700,58.000,1.000,0.210,2.900,25.000,17.500,121.097
D04,236547.411,7644781.037,569.328,62.145,PeM,Plant,461.500,433.000,105.500,30.000,4.900,4.000,2.400,32.000,7.000,31.000,41.300,72.100,57.000,8.000,0.190,4.100,17.000,19.900,118.490
D05,236555.348,7644830.403,570.963,19.229,PeM,Plant,479.000,424.000,97.000,34.000,5.000,5.000,2.200,24.000,7.000,31.000,33.300,64.200,52.000,5.000,0.170,3.800,20.000,23.500,113.509
D06,236563.285,7644879.769,569.821,30.558,PeM,Plant,506.500,410.000,83.500,34.000,4.500,4.000,1.200,15.000,4.000,42.000,19.800,62.100,32.000,16.000,0.150,4.800,20.000,24.800,116.247
D07,236571.222,7644929.135,571.868,6.873,PeM,Plant,508.500,380.000,111.500,35.000,5.000,7.000,2.200,21.000,7.000,34.000,29.900,64.100,47.000,7.000,0.170,4.800,18.000,30.700,113.902
D08,236579.159,7644978.501,572.443,8.474,PeM,Plant,509.500,389.000,101.500,33.000,5.000,8.000,0.800,20.000,6.000,38.000,26.000,64.100,41.000,7.000,0.170,5.300,20.000,28.800,118.729
D09,236587.096,7645027.867,573.093,9.739,PeM,Plant,524.000,383.000,93.000,32.000,4.800,7.000,1.800,21.000,6.000,38.000,28.700,66.800,43.000,13.000,0.180,4.800,24.000,23.700,115.439
D10,236595.033,7645077.233,573.647,8.795,PeM,Plant,537.500,369.000,93.500,26.000,4.800,29.000,1.100,19.000,5.000,38.000,25.200,63.300,40.000,11.000,0.070,4.100,22.000,10.000,116.552
D11,236602.970,7645126.599,573.969,8.617,PeM,Plant,501.000,406.000,93.000,32.000,4.900,7.000,1.400,27.000,8.000,38.000,36.200,74.300,49.000,5.000,0.250,4.200,25.000,18.500,113.509
D12,236610.907,7645175.964,574.343,9.837,PeM,Plant,437.000,452.000,111.000,33.000,4.900,6.000,2.200,26.000,8.000,38.000,35.800,73.900,48.000,4.000,0.180,3.900,25.000,16.600,119.132
D13,236618.845,7645225.330,574.487,7.760,PeM,Plant,417.500,505.000,77.500,32.000,5.400,12.000,1.800,44.000,9.000,25.000,54.900,79.900,69.000,1.000,0.160,3.100,20.000,21.200,113.630
D14,236626.782,7645274.696,574.842,11.462,PeM,Plant,409.500,531.000,59.500,31.000,5.100,13.000,1.500,35.000,7.000,31.000,43.300,74.100,58.000,2.000,0.130,3.500,28.000,12.600,117.506
D15,236634.719,7645324.062,575.254,13.258,PeM,Plant,417.000,516.000,67.000,30.000,5.200,6.000,1.900,22.000,6.000,28.000,30.200,57.900,52.000,3.000,0.150,6.300,20.000,24.100,113.896
D16,236642.656,7645373.428,575.283,8.671,PeM,Plant,443.500,473.000,83.500,30.000,5.200,8.000,2.800,26.000,7.000,31.000,36.100,67.000,54.000,5.000,0.170,3.800,25.000,24.500,110.961
D17,236650.593,7645422.794,575.549,6.283,PeM,Plant,471.000,428.000,101.000,26.000,5.100,8.000,1.100,20.000,5.000,28.000,26.700,54.400,49.000,9.000,0.130,3.500,24.000,14.600,111.637
D18,236658.530,7645472.160,575.695,6.537,PeM,Plant,486.000,396.000,118.000,29.000,4.800,7.000,1.300,18.000,5.000,38.000,23.900,61.900,39.000,12.000,0.170,4.200,27.000,13.800,112.336
D19,236666.467,7645521.526,575.637,6.598,PeM,Plant,509.000,371.000,120.000,23.000,4.900,7.000,2.500,14.000,4.000,31.000,20.400,51.200,40.000,33.000,0.150,3.000,19.000,9.700,112.121
E01,236572.966,7644625.002,577.326,17.786,PeM,Plant,377.500,561.000,61.500,36.000,5.100,17.000,0.500,29.000,6.000,34.000,36.100,70.400,51.000,1.000,0.190,2.700,23.000,10.700,96.112
E02,236580.903,7644674.368,576.768,11.186,PeM,Plant,413.000,531.000,56.000,30.000,4.800,8.000,3.500,25.000,5.000,34.000,33.700,67.900,50.000,8.000,0.170,3.300,24.000,11.600,122.912
E03,236588.840,7644723.734,575.870,8.486,PeM,Plant,386.000,544.000,70.000,43.000,4.900,21.000,1.500,31.000,9.000,38.000,41.900,80.000,52.000,6.000,0.230,3.800,57.000,24.600,126.108
E04,236596.777,7644773.100,575.560,8.521,PeM,Plant,424.500,473.000,102.500,33.000,4.700,9.000,1.300,19.000,7.000,42.000,26.900,69.100,39.000,6.000,0.200,3.700,20.000,15.400,121.246
E05,236604.714,7644822.466,575.650,7.812,PeM,Plant,503.500,411.000,85.500,32.000,5.000,6.000,2.000,24.000,8.000,31.000,34.400,65.300,53.000,2.000,0.160,4.400,30.000,20.400,114.685
