Elevation (m),Season,Silt,P,Mg,CEC,BS,B,Fe,Mn,Yield
568.364,Plant,85.0,4.0,7.0,84.2,59.0,0.13,18.0,15.1,110.553
569.248,Plant,96.0,4.0,5.0,62.9,60.0,0.14,15.0,16.3,118.32
570.391,Plant,101.5,4.0,4.0,60.6,43.0,0.11,19.0,13.2,120.004
569.427,Plant,113.5,6.0,3.0,66.8,37.0,0.15,24.0,10.8,113.114
570.934,Plant,125.0,5.0,4.0,72.3,41.0,0.16,20.0,9.2,117.427
570.126,Plant,121.0,11.0,4.0,66.2,42.0,0.13,34.0,15.9,118.583
568.397,Plant,76.0,15.0,10.0,96.5,56.0,0.23,63.0,14.9,133.116
570.782,Plant,82.0,9.0,10.0,80.7,58.0,0.21,25.0,17.5,121.097
569.328,Plant,105.5,4.0,7.0,72.1,57.0,0.19,17.0,19.9,118.49
570.963,Plant,97.0,5.0,7.0,64.2,52.0,0.17,20.0,23.5,113.509
569.821,Plant,83.5,4.0,4.0,62.1,32.0,0.15,20.0,24.8,116.247
571.868,Plant,111.5,7.0,7.0,64.1,47.0,0.17,18.0,30.7,113.902
572.443,Plant,101.5,8.0,6.0,64.1,41.0,0.17,20.0,28.8,118.729
573.093,Plant,93.0,7.0,6.0,66.8,43.0,0.18,24.0,23.7,115.439
573.647,Plant,93.5,29.0,5.0,63.3,40.0,0.07,22.0,10.0,116.552
573.969,Plant,93.0,7.0,8.0,74.3,49.0,0.25,25.0,18.5,113.509
574.343,Plant,111.0,6.0,8.0,73.9,48.0,0.18,25.0,16.6,119.132
574.487,Plant,77.5,12.0,9.0,79.9,69.0,0.16,20.0,21.2,113.63
574.842,Plant,59.5,13.0,7.0,74.1,58.0,0.13,28.0,12.6,117.506
575.254,Plant,67.0,6.0,6.0,57.9,52.0,0.15,20.0,24.1,113.896
575.283,Plant,83.5,8.0,7.0,67.0,54.0,0.17,25.0,24.5,110.961
575.549,Plant,101.0,8.0,5.0,54.4,49.0,0.13,24.0,14.6,111.637
575.695,Plant,118.0,7.0,5.0,61.9,39.0,0.17,27.0,13.8,112.336
575.637,Plant,120.0,7.0,4.0,51.2,40.0,0.15,19.0,9.7,112.121
577.326,Plant,61.5,17.0,6.0,70.4,51.0,0.19,23.0,10.7,96.112
576.768,Plant,56.0,8.0,5.0,67.9,50.0,0.17,24.0,11.6,122.912
575.87,Plant,70.0,21.0,9.0,80.0,52.0,0.23,57.0,24.6,126.108
575.56,Plant,102.5,9.0,7.0,69.1,39.0,0.2,20.0,15.4,121.246
575.65,Plant,85.5,6.0,8.0,65.3,53.0,0.16,30.0,20.4,114.685
575.97,Plant,104.5,5.0,8.0,70.5,51.0,0.2,21.0,16.0,117.765
576.863,Plant,92.0,7.0,6.0,66.7,43.0,0.16,24.0,21.5,111.73
